Orden;Nombre;Frecuencia;Edad Media;sexo
11901;ABDELMAOULA;49;31.6;H
5260;ABDELMJID;135;45.0;H
15183;ABDELMOGHIT;36;32.8;H
4836;ABDELMONAIM;150;29.6;H
6845;ABDELMONIM;98;32.2;H
8600;ABDELMOUGHIT;73;30.1;H
2747;ABDELMOULA;314;36.0;H
4934;ABDELMOUMEN;146;36.2;H
23125;ABDELMOUMENE;21;39.5;H
3581;ABDELMOUNAIM;224;32.3;H
5261;ABDELMOUNIM;135;32.3;H
24013;ABDELMOUTALIB;20;32.0;H
22293;ABDELOIHAB;22;46.6;H
20171;ABDELOIHED;25;45.4;H
17523;ABDELOIHID;30;43.4;H
18523;ABDELOUADOUD;28;26.7;H
7141;ABDELOUAFI;93;40.1;H
1997;ABDELOUAHAB;496;41.1;H
3359;ABDELOUAHAD;241;38.6;H
16637;ABDELOUAHD;32;32.3;H
1517;ABDELOUAHED;717;41.9;H
19557;ABDELOUAHHAB;26;40.8;H
1523;ABDELOUAHID;712;42.0;H
12726;ABDELOUHAB;45;41.9;H
9470;ABDELQADER;65;40.1;H
22294;ABDELRAHIM;22;18.5;H
9239;ABDELRAHMAN;67;11.2;H
10236;ABDELRHANI;59;45.2;H
4666;ABDELTIF;157;42.8;H
12299;ABDELUAHED;47;47.9;H
16638;ABDELUAHID;32;46.4;H
19558;ABDELWADOUD;26;11.4;H
5228;ABDELWAHAB;136;36.1;H
10874;ABDELWAHAD;55;35.3;H
5194;ABDELWAHED;137;31.5;H
7258;ABDELWAHID;91;35.4;H
6166;ABDENABI;111;40.7;H
16639;ABDENACER;32;36.9;H
20172;ABDENAJI;25;38.2;H
21514;ABDENASSAR;23;34.5;H
12300;ABDENASSER;47;35.4;H
1764;ABDENBI;584;42.5;H
3785;ABDENNABI;208;43.0;H
10705;ABDENNACER;56;38.3;H
24014;ABDENNACEUR;20;44.9;H
22295;ABDENNAIM;22;36.8;H
12727;ABDENNAJI;45;36.3;H
18013;ABDENNASER;29;38.7;H
13201;ABDENNASSAR;43;41.3;H
6319;ABDENNASSER;108;38.0;H
10875;ABDENNEBI;55;50.3;H
3189;ABDENNOUR;258;28.2;H
4555;ABDENOUR;163;31.9;H
5134;ABDERAHIM;139;33.1;H
5426;ABDERAHMAN;130;23.1;H
10550;ABDERAHMANE;57;27.6;H
6510;ABDERAZAK;104;35.7;H
8601;ABDERAZZAK;73;35.3;H
19559;ABDEREZAK;26;43.6;H
23126;ABDERHIM;21;38.5;H
6366;ABDERRACHID;107;44.5;H
15884;ABDERRAFIA;34;35.9;H
10876;ABDERRAFIE;55;33.2;H
14875;ABDERRAFIK;37;34.4;H
7030;ABDERRAHAMAN;95;47.1;H
401;ABDERRAHIM;4814;38.1;H
9685;ABDERRAHIME;63;34.0;H
598;ABDERRAHMAN;2654;38.2;H
747;ABDERRAHMANE;1982;39.3;H
17524;ABDERRAHMEN;30;45.0;H
8710;ABDERRAMAN;72;45.4;H
12072;ABDERRAOUF;48;32.8;H
1242;ABDERRAZAK;956;37.9;H
16267;ABDERRAZEK;33;37.7;H
23127;ABDERRAZIK;21;39.4;H
1608;ABDERRAZZAK;663;38.0;H
9686;ABDERRAZZAQ;63;34.1;H
10115;ABDERREZAK;60;40.6;H
19014;ABDERREZZAK;27;42.1;H
16268;ABDERZAK;33;42.1;H
9576;ABDESALAM;64;31.1;H
7779;ABDESAMAD;83;25.5;H
2726;ABDESELAM;318;50.8;H
436;ABDESLAM;4261;49.1;H
3705;ABDESLEM;214;47.7;H
5722;ABDESSADEK;122;37.8;H
19015;ABDESSADEQ;27;35.8;H
10877;ABDESSADIK;55;41.4;H
2914;ABDESSALAM;291;34.6;H
11902;ABDESSALEM;49;44.6;H
843;ABDESSAMAD;1640;30.9;H
17063;ABDESSAMED;31;27.4;H
19016;ABDESSAMIE;27;23.5;H
2137;ABDESSELAM;450;52.3;H
2879;ABDESSLAM;295;47.6;H
15184;ABDESSLEM;36;48.4;H
16269;ABDI;33;29.2;H
16270;ABDIAS;33;37.7;H
14876;ABDIEL;37;20.4;H
19017;ABDO;27;36.6;H
14263;ABDOLLAH;39;17.2;H
1266;ABDON;917;56.7;H
8447;ABDONA;71;66.0;M
1238;ABDOU;960;39.1;H
5816;ABDOU AZIZ;120;29.6;H
8101;ABDOU KARIM;79;35.1;H
14877;ABDOU KHADIR;37;35.6;H
11903;ABDOU KHADRE;49;28.9;H
18524;ABDOU LAHAD;28;29.5;H
12301;ABDOU LAHAT;47;35.2;H
16271;ABDOU SALAM;33;33.4;H
5531;ABDOUL;127;34.7;H
4935;ABDOUL AZIZ;146;31.4;H
7092;ABDOUL KARIM;94;31.1;H
23128;ABDOUL WAHAB;21;33.4;H
24015;ABDOULAY;20;25.0;H
756;ABDOULAYE;1942;35.9;H
3228;ABDOULIE;254;33.8;H
21515;ABDOULLAH;23;27.1;H
7650;ABDOURAHAMANE;85;34.3;H
19018;ABDOURAHMAN;27;29.8;H
4130;ABDOURAHMANE;186;34.8;H
23129;ABDRAHMAN;21;6.7;H
20173;ABDRAMANE;25;32.9;H
18014;ABDU;29;28.4;H
1075;ABDUL;1165;36.5;H
22296;ABDUL AHAD;22;17.4;H
13442;ABDUL AZIZ;42;30.9;H
10237;ABDUL HADI;59;9.7;H
23130;ABDUL HAMID;21;41.4;H
10238;ABDUL KARIM;59;37.4;H
7924;ABDUL RAHMAN;81;25.0;H
17525;ABDUL RAZAK;30;41.5;H
6846;ABDUL REHMAN;98;18.2;H
17526;ABDUL WAHAB;30;23.8;H
10551;ABDULAH;57;14.6;H
11203;ABDULAI;53;36.7;H
23131;ABDULAYE;21;31.2;H
13996;ABDULAZIZ;40;37.2;H
22297;ABDULKADER;22;33.9;H
24016;ABDULKARIM;20;36.5;H
17527;ABDULLA;30;24.1;H
1932;ABDULLAH;518;15.0;H
13202;ABDULRAHMAN;43;33.4;H
10878;ABDUR;55;34.3;H
14543;ABDURRAHMAN;38;9.4;H
17064;ABDUS;31;34.4;H
6140;ABED;112;40.5;H
20381;ABEEHA;25;5.3;M
15624;ABEER;34;30.1;M
19055;ABEERA;27;9.0;M
125;ABEL;24294;31.7;H
20837;ABEL ALBERTO;24;42.8;H
9818;ABEL ALEJANDRO;62;24.3;H
24017;ABEL ANDRES;20;37.1;H
7508;ABEL ANGEL;87;46.8;H
4991;ABEL ANTONIO;144;38.5;H
20174;ABEL CARLOS;25;51.2;H
16640;ABEL DANIEL;32;24.4;H
20175;ABEL DARIO;25;36.5;H
9359;ABEL DAVID;66;29.7;H
19560;ABEL EDUARDO;26;35.2;H
15885;ABEL ENRIQUE;34;40.7;H
16272;ABEL FERNANDO;33;39.0;H
8016;ABEL FRANCISCO;80;36.8;H
22298;ABEL IGNACIO;22;29.3;H
19561;ABEL JAVIER;26;27.0;H
3752;ABEL JESUS;210;36.1;H
4863;ABEL JOSE;149;37.7;H
21516;ABEL JOSUE;23;24.8;H
21517;ABEL JUAN;23;42.0;H
23132;ABEL LUIS;21;40.0;H
8102;ABEL MANUEL;79;37.3;H
15886;ABEL MARIA;34;45.0;H
15887;ABEL RAMON;34;35.5;H
22299;ABEL SANTIAGO;22;31.9;H
22300;ABEL VICENTE;22;38.1;H
15888;ABELARD;34;50.6;H
532;ABELARDO;3153;59.7;H
15889;ABELARDO ANTONIO;34;50.5;H
24018;ABELARDO JESUS;20;48.1;H
11038;ABELARDO JOSE;54;46.6;H
24019;ABELARDO MANUEL;20;51.0;H
18464;ABELIA;28;73.4;M
6468;ABELINA;100;69.7;M
10239;ABELINO;59;60.8;H
16641;ABELIO;32;63.9;H
24603;ABENAUARA;20;25.0;M
13562;ABENAURA;40;21.9;M
5894;ABENCHARA;112;21.8;M
17065;ABHISHEK;31;24.0;H
17363;ABI;30;16.2;M
1727;ABIAN;603;20.5;H
13997;ABIAN JESUS;40;20.9;H
17066;ABIAN JOSE;31;21.8;H
14544;ABIB;38;33.1;H
16029;ABIBATOU;33;28.2;M
8826;ABIBOU;71;40.7;H
2088;ABID;464;38.3;H
23133;ABID HUSSAIN;21;43.4;H
3297;ABIDA;243;40.8;M
11204;ABIEL;53;10.7;H
672;ABIGAIL;2830;22.3;M
20382;ABIGAIL MARIA;25;27.3;M
23628;ABIHA;21;6.0;M
2258;ABILIA;426;76.2;M
797;ABILIO;1808;65.9;H
13998;ABILIO JOSE;40;45.4;H
5942;ABIMAEL;117;22.7;H
2878;ABIR;296;16.2;M
14545;ABISAI;38;16.1;H
6296;ABLA;103;26.2;M
4517;ABLAYE;165;36.0;H
8511;ABNER;74;25.4;H
3474;ABOU;232;35.5;H
14264;ABOU BAKR;39;11.1;H
3061;ABOUBACAR;274;30.2;H
8711;ABOUBAKAR;72;28.3;H
19019;ABOUBAKARY;27;20.4;H
15890;ABOUBAKER;34;15.7;H
5901;ABOUBAKR;118;18.6;H
21518;ABOUDOU;23;33.8;H
20838;ABOULAYE;24;24.5;H
201;ABRAHAM;13354;23.5;H
24020;ABRAHAM ALEJANDRO;20;20.1;H
14878;ABRAHAM ANTONIO;37;28.0;H
20176;ABRAHAM DANIEL;25;12.2;H
10402;ABRAHAM DAVID;58;23.9;H
24021;ABRAHAM ENRIQUE;20;25.8;H
19562;ABRAHAM FRANCISCO;26;24.0;H
24022;ABRAHAM ISAAC;20;25.8;H
6691;ABRAHAM JESUS;101;24.0;H
6101;ABRAHAM JOSE;113;27.4;H
17528;ABRAHAM JOSUE;30;18.8;H
23134;ABRAHAM LUIS;21;40.3;H
10240;ABRAHAM MANUEL;59;27.5;H
22301;ABRAHAM MIGUEL;22;23.3;H
20177;ABRAHAM MOISES;25;28.8;H
709;ABRAHAN;2091;27.2;H
23135;ABRAHAN JOSE;21;29.7;H
22302;ABRAHIM;22;34.9;H
12302;ABRAM;47;18.2;H
21519;ABRAN;23;20.0;H
8712;ABRAR;72;29.6;H
3155;ABRAR;257;4.4;M
261;ABRIL;10421;7.3;M
8986;ABRIL MARIA;66;11.1;M
21870;ABSA;23;26.5;M
7259;ABSALON;91;24.1;H
4406;ABSELAM;170;51.9;H
6141;ABU;112;33.1;H
13203;ABU BAKAR;43;18.1;H
10706;ABU BAKR;56;7.8;H
16642;ABUBACAR;32;18.1;H
8186;ABUBACARR;78;26.6;H
5135;ABUBAKAR;139;20.3;H
12495;ABUBAKARI;46;20.2;H
14879;ABUBAKARY;37;15.3;H
4992;ABUBAKER;144;10.4;H
20839;ABUBAKR;24;8.9;H
8017;ABUL;80;39.9;H
20840;ABULAI;24;25.4;H
4441;ABUNDIA;163;79.1;M
2019;ABUNDIO;486;74.8;H
8781;ABY;68;26.9;M
3904;ACACIA;194;67.4;M
3312;ACACIO;246;67.1;H
22303;ACAIMO;22;24.7;H
3204;ACAYMO;256;25.1;H
6350;ACERINA;102;28.6;M
3967;ACHER;196;6.3;H
19563;ACHILLE;26;36.7;H
11205;ACHIM;53;50.5;H
8871;ACHOUCHA;67;57.0;M
3426;ACHOUR;236;44.9;H
13563;ACHOURA;40;44.3;M
660;ACHRAF;2327;16.2;H
14865;ACHUCHA;36;59.4;M
20841;ACINDINO;24;78.1;H
2839;ACISCLO;300;62.5;H
2712;ACOIDAN;320;18.8;H
21520;ACOIDAN JESUS;23;19.8;H
4833;ACORAIDA;145;27.3;M
2915;ACORAN;291;16.9;H
19020;ACORAN JESUS;27;19.7;H
15541;ACOYDAN;35;12.9;H
11826;ACRACIA;47;81.3;M
571;ADA;3479;17.0;M
21095;ADA CRISTINA;24;41.8;M
24604;ADA ELIZABETH;20;32.8;M
17930;ADA ISABEL;29;31.9;M
8188;ADA LUZ;74;37.8;M
3794;ADA MARIA;202;35.4;M
18465;ADA MARINA;28;52.2;M
24605;ADA ROSA;20;48.4;M
14546;ADAEL;38;8.4;H
13296;ADAH;41;11.2;M
15542;ADAHI;35;13.1;H
8103;ADAHY;79;7.9;H
4375;ADAI;172;9.8;H
5221;ADAIA;131;14.5;M
15891;ADAIR;34;17.4;H
6367;ADAL;107;29.2;H
24606;ADALA;20;23.6;M
15543;ADALBERT;35;51.2;H
19056;ADALBERTA;27;65.6;M
1936;ADALBERTO;515;50.3;H
5162;ADALGISA;133;45.5;M
12272;ADALGIZA;45;49.5;M
7478;ADALIA;83;40.1;M
11904;ADALID;49;37.3;H
166;ADAM;16709;8.7;H
24023;ADAM DANIEL;20;22.2;H
15892;ADAM DAVID;34;26.9;H
13204;ADAM JAMES;43;33.3;H
13205;ADAM JOHN;43;33.0;H
22304;ADAM MOHAMED;22;8.8;H
1004;ADAMA;1284;33.6;H
2485;ADAMA;368;23.5;M
21871;ADAMA HAWA;23;16.1;M
14265;ADAME;39;10.3;H
5273;ADAMINA;129;68.4;M
13715;ADAMO;41;41.4;H
6409;ADAMS;106;25.5;H
391;ADAN;5040;20.9;H
23136;ADAN ANTONIO;21;27.5;H
8427;ADAN JESUS;75;31.5;H
9360;ADAN JOSE;66;28.4;H
13716;ADAN MANUEL;41;26.4;H
21096;ADANAY;24;9.7;M
15185;ADAO;36;48.9;H
1386;ADARA;953;7.1;M
21097;ADARA MARIA;24;13.1;M
12760;ADARAY;43;5.1;M
18525;ADARGOMA;28;26.8;H
9240;ADASAT;67;24.9;H
9184;ADASSA;64;23.0;M
555;ADAY;2991;12.6;H
23137;ADAY ANTONIO;21;21.4;H
19564;ADAY DAVID;26;21.7;H
22305;ADAY FRANCISCO;22;24.4;H
5723;ADAY JESUS;122;23.2;H
8713;ADAY JOSE;72;23.1;H
15186;ADAY MANUEL;36;18.9;H
4415;ADAYA;164;17.1;M
7093;ADDA;94;42.2;H
15252;ADDA;35;16.2;M
13297;ADDAIA;41;12.1;M
8602;ADDI;73;42.2;H
4077;ADEEL;189;27.2;H
22674;ADEELA;22;27.2;M
1946;ADEI;512;6.9;H
1386;ADEL;804;31.2;H
20383;ADEL;25;21.2;M
160;ADELA;26746;60.3;M
19057;ADELA ANA;27;52.9;M
19058;ADELA ANGELES;27;58.3;M
16030;ADELA ANTONIA;33;56.3;M
21872;ADELA BEATRIZ;23;49.2;M
4585;ADELA CARMEN;156;51.0;M
17364;ADELA CONCEPCION;30;60.1;M
11044;ADELA CRISTINA;51;41.8;M
13564;ADELA DOLORES;40;59.8;M
13298;ADELA ELENA;41;38.5;M
24607;ADELA ESTHER;20;57.3;M
5163;ADELA ISABEL;133;51.7;M
21873;ADELA JESUS;23;53.8;M
12761;ADELA JOSEFA;43;62.0;M
23629;ADELA LUCIA;21;47.6;M
13896;ADELA MARGARITA;39;56.9;M
1176;ADELA MARIA;1249;46.5;M
17931;ADELA MERCEDES;29;58.5;M
23630;ADELA PATRICIA;21;40.7;M
9418;ADELA PILAR;62;55.7;M
14219;ADELA ROSA;38;59.1;M
18466;ADELA ROSARIO;28;52.8;M
21874;ADELA TERESA;23;55.5;M
16882;ADELA VICTORIA;31;57.9;M
301;ADELAIDA;8562;61.4;M
13897;ADELAIDA CARMEN;39;50.6;M
19059;ADELAIDA ISABEL;27;51.4;M
4661;ADELAIDA MARIA;152;44.9;M
8098;ADELAIDE;75;48.2;M
3753;ADELAIDO;210;65.0;H
3484;ADELARDO;231;56.1;H
21875;ADELAYDA;23;47.2;M
4040;ADELE;184;25.5;M
5541;ADELFA;121;61.9;M
9185;ADELFINA;64;70.7;M
10550;ADELHEID;54;69.5;M
1487;ADELIA;853;65.6;M
13898;ADELIA MARIA;39;51.7;M
8603;ADELIN;73;33.4;H
283;ADELINA;9288;65.4;M
14220;ADELINA CARMEN;38;55.3;M
11045;ADELINA ELENA;51;21.1;M
20384;ADELINA GABRIELA;25;19.5;M
21876;ADELINA IOANA;23;11.7;M
20385;ADELINA ISABEL;25;55.8;M
3917;ADELINA MARIA;193;35.7;M
19710;ADELINDA;26;62.1;M
9677;ADELINE;60;34.0;M
1458;ADELINO;754;63.9;H
4727;ADELIO;154;64.6;H
16475;ADELITA;32;58.2;M
18467;ADELMA;28;60.6;M
9034;ADELMO;69;54.8;H
20178;ADELO;25;61.1;H
15893;ADELTO;34;51.6;H
5013;ADEM;143;14.2;H
10879;ADEMAR;55;35.9;H
11705;ADEMIR;50;40.7;H
22306;ADEODATO;22;67.8;H
14221;ADERITA;38;73.4;M
5902;ADERITO;118;57.8;H
12762;ADESUWA;43;35.3;M
5987;ADEXE;116;21.2;H
6847;ADHAM;98;13.2;H
2744;ADHARA;320;10.3;M
20179;ADHEMAR;25;40.4;H
7142;ADI;93;28.3;H
17365;ADI;30;31.8;M
9958;ADIB;61;24.0;H
17366;ADIBA;30;26.0;M
7859;ADIEL;82;14.7;H
4647;ADIELA;153;56.3;M
516;ADIL;3379;30.1;H
10551;ADILA;54;32.8;M
8872;ADILIA;67;62.4;M
8104;ADILSON;79;37.1;H
2060;ADINA;491;34.6;M
24608;ADINA CRISTINA;20;31.4;M
8099;ADINA ELENA;75;28.6;M
14866;ADINA GABRIELA;36;24.7;M
15625;ADINA IOANA;34;29.2;M
7191;ADINA MARIA;87;27.2;M
24609;ADINA MARIANA;20;37.9;M
12273;ADINA MIHAELA;45;33.2;M
15187;ADIRAN;36;14.7;H
17932;ADIRANE;29;23.2;M
12274;ADITA;45;65.5;M
19565;ADITYA;26;14.4;H
19566;ADJONA;26;14.0;H
21098;ADJOU;24;42.6;M
20842;ADJUTORI;24;61.6;H
20843;ADMIR;24;37.0;H
5825;ADMIRACION;114;68.0;M
1044;ADNAN;1222;21.9;H
2272;ADNANE;406;22.7;H
3911;ADOLF;200;56.3;H
5013;ADOLFA;138;71.7;M
1073;ADOLFINA;1440;66.9;M
18526;ADOLFINO;28;63.1;H
137;ADOLFO;21815;55.2;H
16273;ADOLFO ALBERTO;33;53.3;H
15894;ADOLFO ALEJANDRO;34;39.8;H
16274;ADOLFO ANDRES;33;44.7;H
11905;ADOLFO ANGEL;49;51.3;H
4728;ADOLFO ANTONIO;154;48.0;H
7860;ADOLFO CARLOS;82;50.9;H
18015;ADOLFO DANIEL;29;40.4;H
13206;ADOLFO DAVID;43;35.3;H
17067;ADOLFO EDUARDO;31;50.9;H
24024;ADOLFO EMILIO;20;51.0;H
8105;ADOLFO ENRIQUE;79;46.1;H
12977;ADOLFO FERNANDO;44;56.3;H
7578;ADOLFO FRANCISCO;86;50.1;H
14880;ADOLFO GUSTAVO;37;48.4;H
23138;ADOLFO IGNACIO;21;46.7;H
4811;ADOLFO JAVIER;151;45.0;H
3650;ADOLFO JESUS;218;46.0;H
1795;ADOLFO JOSE;572;46.5;H
8428;ADOLFO JUAN;75;50.6;H
23139;ADOLFO JULIAN;21;59.8;H
12728;ADOLFO LEON;45;47.3;H
4777;ADOLFO LUIS;152;53.7;H
3686;ADOLFO MANUEL;215;48.4;H
18016;ADOLFO MARIA;29;51.2;H
7327;ADOLFO MIGUEL;90;49.3;H
17529;ADOLFO PEDRO;30;57.0;H
14266;ADOLFO RAFAEL;39;51.1;H
11206;ADOLFO RAMON;53;52.4;H
23140;ADOLFO RICARDO;21;55.5;H
18017;ADOLFO SANTIAGO;29;54.4;H
20180;ADOLFO TOMAS;25;50.7;H
14881;ADOLFO VICENTE;37;54.4;H
2457;ADONAI;367;14.0;H
9136;ADONAIS;68;19.2;H
1347;ADONAY;832;11.2;H
24025;ADONAY JESUS;20;23.6;H
16031;ADONAYA;33;14.7;M
19567;ADONEY;26;7.3;H
3934;ADONINA;192;75.5;M
2766;ADONIS;311;38.8;H
24610;ADORA;20;52.7;M
7537;ADORACIO;82;64.0;M
13999;ADORACION;40;73.9;H
200;ADORACION;17916;64.8;M
15626;ADORACION ANGELES;34;57.4;M
11446;ADORACION CARMEN;49;53.3;M
17367;ADORACION ISABEL;30;50.0;M
6469;ADORACION MARIA;100;52.4;M
10257;ADORACION PILAR;56;58.9;M
10258;ADORACION REY;56;48.4;M
4416;ADORACION REYES;164;52.6;M
21877;ADORALINA;23;73.4;M
16032;ADORINDA;33;75.0;M
4561;ADOSINDA;157;73.1;M
170;ADRIA;16338;17.0;H
7268;ADRIA;86;24.0;M
16643;ADRIAAN;32;56.0;H
23141;ADRIAM;21;21.3;H
31;ADRIAN;152686;18.9;H
16644;ADRIAN AGUSTIN;32;20.8;H
4407;ADRIAN ALBERTO;170;27.9;H
2857;ADRIAN ALEJANDRO;298;21.2;H
5229;ADRIAN ALEXANDER;136;15.6;H
7260;ADRIAN ALEXANDRU;91;24.9;H
20844;ADRIAN ALEXIS;24;23.4;H
13717;ADRIAN ALFONSO;41;24.4;H
19568;ADRIAN ALFREDO;26;28.5;H
18527;ADRIAN ALIN;28;27.8;H
17530;ADRIAN ALONSO;30;20.9;H
24026;ADRIAN ANDREI;20;21.8;H
9035;ADRIAN ANDRES;69;21.2;H
10241;ADRIAN ANGEL;59;26.2;H
2727;ADRIAN ANTONIO;318;25.0;H
7719;ADRIAN ARTURO;84;23.0;H
12729;ADRIAN BOGDAN;45;27.0;H
8714;ADRIAN CARLOS;72;31.4;H
9687;ADRIAN CATALIN;63;25.9;H
15895;ADRIAN CIPRIAN;34;29.4;H
11706;ADRIAN CLAUDIU;50;30.6;H
5857;ADRIAN CONSTANTIN;119;28.2;H
20181;ADRIAN CORNEL;25;35.8;H
10552;ADRIAN COSMIN;57;29.3;H
6020;ADRIAN CRISTIAN;115;26.2;H
19021;ADRIAN CRISTO;27;20.3;H
3847;ADRIAN DANIEL;204;23.8;H
21521;ADRIAN DANUT;23;33.3;H
14882;ADRIAN DARIO;37;28.4;H
4002;ADRIAN DAVID;194;18.2;H
13207;ADRIAN DUMITRU;43;35.2;H
7094;ADRIAN EDUARDO;94;24.9;H
21522;ADRIAN ELIAS;23;24.9;H
23142;ADRIAN EMANUEL;21;21.4;H
21523;ADRIAN EMIL;23;31.8;H
15188;ADRIAN EMILIO;36;23.2;H
