Frecuencias de nombres masculinos;;;
Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2018;;;
;;;
Nombres masculinos con frecuencia mayor o igual a 20 a nivel nacional.;;;
(*) Edad media de las personas que tienen ese nombre a nivel nacional.;;;
;;;
Orden;Nombre;Frecuencia;Edad Media (*)
313;LUCA;7.283 ;12,7
314;ARITZ;7.282 ;19,4
315;SATURNINO;7.240 ;67,1
316;FABIAN;7.155 ;34,6
317;MUHAMMAD;7.115 ;34,8
318;NESTOR;7.103 ;30,6
319;MANEL;7.102 ;33,0
320;VASILE;7.054 ;44,8
321;AIMAR;7.051 ;9,6
322;FRANCESC XAVIER;6.999 ;47,7
323;JUAN ANGEL;6.988 ;48,3
324;RUFINO;6.986 ;65,4
325;GHEORGHE;6.965 ;47,5
326;ANGEL MANUEL;6.915 ;43,8
327;KHALID;6.884 ;36,1
328;RAYAN;6.875 ;5,6
329;ROBERT;6.849 ;37,4
330;IMANOL;6.726 ;30,0
331;DYLAN;6.719 ;4,6
332;GASPAR;6.643 ;56,5
333;GAEL;6.552 ;5,3
334;ABDELLAH;6.482 ;40,2
335;RICARD;6.465 ;37,6
336;MARCELO;6.457 ;46,2
337;CLEMENTE;6.441 ;60,5
338;MARKEL;6.412 ;11,0
339;BASILIO;6.319 ;60,4
340;OIER;6.301 ;13,2
341;ANDONI;6.294 ;30,6
342;RAIMUNDO;6.267 ;60,1
343;IOAN;6.236 ;47,0
344;FELICIANO;6.214 ;65,2
345;ALAN;6.156 ;18,6
346;JOSU;6.111 ;32,2
347;BRAIS;6.103 ;15,0
348;ABDELKADER;6.086 ;46,3
349;HILARIO;6.079 ;63,4
350;JUAN ALBERTO;6.076 ;41,7
351;BILAL;6.061 ;16,5
352;FABIO;6.020 ;23,0
353;JESUS ANTONIO;5.995 ;50,1
354;HICHAM;5.974 ;32,8
355;BERNAT;5.968 ;22,7
356;HAMZA;5.968 ;17,6
357;AYOUB;5.965 ;13,9
358;FERNANDO JOSE;5.945 ;42,9
359;EVARISTO;5.908 ;62,1
360;ANGEL MARIA;5.905 ;54,1
361;JOSEBA;5.819 ;34,7
362;LUIS ENRIQUE;5.814 ;42,1
363;ROBERTO CARLOS;5.781 ;36,0
364;MARCIAL;5.763 ;60,2
365;DIDAC;5.705 ;17,4
366;LAUREANO;5.695 ;62,1
367;ELISEO;5.686 ;60,4
368;MARCEL;5.649 ;29,5
369;BRAHIM;5.609 ;37,4
370;NARCISO;5.574 ;61,8
371;PATRICIO;5.520 ;53,1
372;PEDRO PABLO;5.511 ;46,6
373;BENIGNO;5.502 ;65,3
374;BERNARDINO;5.427 ;62,6
375;CECILIO;5.423 ;61,9
376;ANTONIO FRANCISCO;5.405 ;46,3
377;NOEL;5.370 ;20,0
378;SEGUNDO;5.356 ;66,9
379;CONSTANTIN;5.348 ;44,8
380;FRANCISCO LUIS;5.332 ;48,4
381;ABDELAZIZ;5.283 ;42,8
382;LEOPOLDO;5.262 ;58,1
383;ANTON;5.224 ;23,7
384;MAURICIO;5.164 ;47,1
385;VALERIANO;5.133 ;63,7
386;CAMILO;5.128 ;54,6
387;PEDRO JAVIER;5.108 ;39,8
388;MARIAN;5.067 ;40,3
389;THIAGO;5.054 ;4,7
390;DEMETRIO;5.046 ;64,0
391;ADAN;5.040 ;20,9
392;BRIAN;5.017 ;23,3
393;CESAREO;4.969 ;63,9
394;IBRAHIM;4.959 ;19,6
395;ANAS;4.950 ;10,1
396;MICHAEL;4.878 ;34,8
397;MANUEL ALEJANDRO;4.873 ;31,3
398;JUAN DAVID;4.831 ;25,1
399;ALAIN;4.825 ;22,2
400;ROQUE;4.823 ;47,0
401;ABDERRAHIM;4.814 ;38,1
402;CARLOS JOSE;4.806 ;43,0
403;PEDRO MIGUEL;4.764 ;45,7
404;OCTAVIO;4.749 ;52,8
405;KARIM;4.748 ;28,5
406;HAMID;4.736 ;40,8
407;RODOLFO;4.722 ;55,7
408;FRANCISCO BORJA;4.698 ;36,5
409;PELAYO;4.687 ;20,8
410;ANASTASIO;4.684 ;67,4
411;JOSE GABRIEL;4.668 ;42,7
412;CIPRIANO;4.661 ;65,6
413;JOSE FELIX;4.616 ;50,9
414;LUCIO;4.613 ;63,7
415;FLORIN;4.606 ;37,2
416;BIENVENIDO;4.600 ;61,5
417;BERNABE;4.588 ;55,3
418;NICOLAE;4.564 ;43,7
419;FRANCISCO ASIS;4.549 ;44,8
420;JESUS MIGUEL;4.543 ;44,9
421;JOSE PEDRO;4.541 ;48,7
422;BALTASAR;4.528 ;59,1
423;LAZARO;4.528 ;54,2
424;ANSELMO;4.516 ;62,1
425;JOSE RAFAEL;4.463 ;48,8
426;MANUEL FRANCISCO;4.451 ;49,7
427;LUIS FRANCISCO;4.434 ;45,4
428;AMADEO;4.428 ;60,8
429;YASSINE;4.404 ;21,9
430;ELOI;4.344 ;18,2
431;MAX;4.331 ;9,9
432;PLACIDO;4.314 ;61,9
433;EULOGIO;4.307 ;64,4
434;IGNASI;4.274 ;34,5
435;DENIS;4.264 ;19,6
436;ABDESLAM;4.261 ;49,1
437;TEOFILO;4.249 ;67,6
438;CELSO;4.241 ;60,8
439;PAUL;4.239 ;32,9
440;FULGENCIO;4.238 ;60,9
441;JUAN ENRIQUE;4.223 ;47,0
442;CASIMIRO;4.221 ;65,9
443;AXEL;4.212 ;13,2
444;JOSE DOMINGO;4.190 ;49,6
445;ALBERTO JOSE;4.184 ;41,0
446;JESUS JAVIER;4.154 ;45,1
447;BEÑAT;4.129 ;16,7
448;DRISS;4.087 ;44,1
449;BALDOMERO;4.081 ;60,9
450;JORGE JUAN;4.062 ;44,8
451;PABLO JOSE;4.056 ;35,7
452;LLUC;4.054 ;10,4
453;HERMINIO;4.037 ;63,8
454;JAMAL;4.034 ;36,9
455;MAMADOU;4.017 ;36,4
456;MAXIMINO;4.013 ;64,5
457;JOSE ALEJANDRO;4.005 ;35,5
458;ANIBAL;3.964 ;40,8
459;VICTOR JOSE;3.947 ;38,7
460;VICENT;3.941 ;30,1
461;VICENTE JOSE;3.930 ;48,6
462;JUAN GABRIEL;3.897 ;36,5
463;ORLANDO;3.864 ;48,4
464;LUIS ALFONSO;3.859 ;45,4
465;ALEXANDRU;3.846 ;33,7
466;IBON;3.840 ;29,1
467;CARLOS ENRIQUE;3.836 ;45,7
468;AZIZ;3.826 ;37,6
469;ZAKARIA;3.826 ;15,3
470;JOSE PABLO;3.813 ;42,0
471;JUAN FERNANDO;3.812 ;46,0
472;ISMAIL;3.806 ;21,3
473;NORBERTO;3.803 ;52,9
474;AQUILINO;3.796 ;62,8
475;MARCOS ANTONIO;3.796 ;40,7
476;NOE;3.758 ;22,9
477;IBAN;3.750 ;34,6
478;GUMERSINDO;3.738 ;65,4
479;SAMIR;3.722 ;29,7
480;VIDAL;3.705 ;58,7
481;MARINO;3.704 ;60,2
482;GUSTAVO ADOLFO;3.693 ;42,2
483;BONIFACIO;3.664 ;66,6
484;ANTONIO MARIA;3.647 ;53,4
485;JOSE TOMAS;3.647 ;48,5
486;ALESSANDRO;3.644 ;26,8
487;GAIZKA;3.610 ;25,7
488;VICTORINO;3.605 ;67,9
489;MOUSSA;3.598 ;34,8
490;JOSE JESUS;3.594 ;50,2
491;NOAH;3.588 ;5,9
492;MELCHOR;3.580 ;58,9
493;UNAX;3.562 ;8,2
494;HIPOLITO;3.561 ;64,5
495;CARLOS ANTONIO;3.555 ;43,8
496;AYMAN;3.553 ;8,8
497;EDUARDO JOSE;3.549 ;40,8
498;MARIUS;3.534 ;35,2
499;NABIL;3.529 ;25,0
500;ALEJANDRO JOSE;3.527 ;30,5
501;STEFAN;3.511 ;40,2
502;ROSENDO;3.509 ;60,7
503;MIHAI;3.507 ;40,4
504;ARSENIO;3.495 ;64,5
505;ELEUTERIO;3.484 ;66,9
506;YASSIN;3.476 ;14,7
507;JOSE ALFONSO;3.451 ;49,9
508;ANTONIO DAVID;3.450 ;27,7
509;JOSE EMILIO;3.447 ;51,4
510;LUIS EDUARDO;3.438 ;38,8
511;VIRGILIO;3.421 ;62,8
512;HIGINIO;3.414 ;64,0
513;KILIAN;3.400 ;14,2
514;TEO;3.394 ;6,2
515;MIGUEL ANTONIO;3.383 ;47,2
516;ADIL;3.379 ;30,1
517;PEDRO ANGEL;3.376 ;46,8
518;JOSE EDUARDO;3.358 ;46,8
519;MAXIMILIANO;3.352 ;50,6
520;ISAIAS;3.309 ;45,0
521;FRANCISCO RAMON;3.294 ;48,3
522;ENRIQUE JOSE;3.288 ;45,3
523;JESUS ALBERTO;3.279 ;40,9
524;ANGEL JOSE;3.277 ;48,1
525;AUGUSTO;3.267 ;55,7
526;URBANO;3.266 ;65,6
527;PEDRO JUAN;3.213 ;51,5
528;SEVERINO;3.204 ;66,4
529;ALEJO;3.197 ;40,3
530;YOUNES;3.172 ;22,8
531;JOSE JULIAN;3.168 ;49,2
532;ABELARDO;3.153 ;59,7
533;CEFERINO;3.149 ;64,8
534;YOEL;3.143 ;11,8
535;VENANCIO;3.140 ;65,4
536;NOUREDDINE;3.134 ;39,2
537;JOSE RAUL;3.125 ;41,7
538;ANXO;3.106 ;13,8
539;JORGE MANUEL;3.088 ;41,3
540;MIMOUN;3.081 ;46,2
541;JOSE BENITO;3.078 ;58,2
542;LANDER;3.075 ;20,8
543;MANUEL MARIA;3.062 ;52,3
544;ARKAITZ;3.056 ;28,8
545;EDER;3.046 ;16,2
546;DIEGO JOSE;3.045 ;35,0
547;ANDREI;3.044 ;27,0
548;DUMITRU;3.042 ;45,6
549;JUAN RAFAEL;3.041 ;47,0
550;CARLOS ANDRES;3.037 ;32,7
551;JOSE AGUSTIN;3.036 ;51,8
552;ENDIKA;3.013 ;23,6
553;LUIS FELIPE;3.004 ;43,3
554;JON ANDER;2.996 ;28,3
555;ADAY;2.991 ;12,6
556;JOSE RICARDO;2.991 ;48,6
557;INOCENCIO;2.989 ;66,5
558;FERNANDO JAVIER;2.984 ;44,1
559;JORGE ANTONIO;2.971 ;42,2
560;NACHO;2.970 ;8,0
561;BRYAN;2.956 ;14,4
562;ANGEL ANTONIO;2.954 ;47,6
563;CARLOS JESUS;2.941 ;40,4
564;RICHARD;2.917 ;36,4
565;BELTRAN;2.900 ;11,9
566;LUIS JOSE;2.898 ;46,6
567;URKO;2.889 ;21,3
568;PRIMITIVO;2.887 ;68,0
569;VICTOR HUGO;2.864 ;38,8
570;GENARO;2.853 ;61,9
571;BAUTISTA;2.848 ;66,7
572;ROC;2.848 ;9,6
573;GENIS;2.838 ;21,4
574;BRAULIO;2.835 ;57,4
575;MOHAMMAD;2.828 ;41,5
576;CONRADO;2.823 ;57,9
577;GIOVANNI;2.802 ;32,9
578;IONEL;2.801 ;43,0
579;JUAN SEBASTIAN;2.801 ;31,0
580;OLEKSANDR;2.769 ;37,4
581;JUAN CRUZ;2.757 ;54,0
582;NEMESIO;2.757 ;66,7
583;PRUDENCIO;2.752 ;64,9
584;DELFIN;2.740 ;63,4
585;EFREN;2.733 ;32,1
586;JACOB;2.723 ;29,4
587;MOSTAFA;2.721 ;43,1
588;HUMBERTO;2.713 ;48,5
589;JOSE JULIO;2.703 ;50,5
590;LEON;2.698 ;39,7
591;AGAPITO;2.689 ;68,3
592;AGUSTI;2.682 ;54,2
593;YAHYA;2.670 ;23,9
594;WALID;2.668 ;12,3
595;JULIO ALBERTO;2.667 ;36,3
596;AMIR;2.663 ;10,2
597;YERAI;2.655 ;11,4
598;ABDERRAHMAN;2.654 ;38,2
599;ABDELLATIF;2.653 ;40,5
600;LEONCIO;2.653 ;67,0
601;PABLO ANTONIO;2.650 ;39,4
602;CARLOS MIGUEL;2.648 ;42,4
603;VOLODYMYR;2.647 ;43,4
604;IBRAHIMA;2.646 ;33,6
605;JOHN;2.646 ;50,0
606;TONI;2.645 ;15,2
607;CESAR AUGUSTO;2.644 ;42,7
608;FAUSTO;2.637 ;59,2
609;ANTONIO ANGEL;2.630 ;45,3
610;XAVI;2.626 ;7,0
611;INDALECIO;2.622 ;60,3
612;VLADIMIR;2.622 ;41,4
613;IMRAN;2.607 ;12,6
614;SECUNDINO;2.607 ;67,1
615;ARTUR;2.598 ;29,7
616;ANDRES FELIPE;2.588 ;25,8
617;ESTEVE;2.580 ;46,7
618;EKAITZ;2.575 ;17,4
619;ABDELILAH;2.558 ;34,7
620;LLORENÇ;2.546 ;38,2
621;PEDRO FRANCISCO;2.535 ;48,1
622;OVIDIO;2.534 ;64,6
623;RUBEN DARIO;2.520 ;38,4
624;LUIS MARIANO;2.519 ;49,5
625;MOURAD;2.512 ;33,3
626;HERNAN;2.508 ;25,6
627;ANGEL JESUS;2.505 ;40,4
628;ANTONIO RAMON;2.505 ;50,1
629;KAMAL;2.483 ;31,9
630;FRANCISCO DAVID;2.478 ;32,9
631;LIAM;2.471 ;5,9
632;AMBROSIO;2.465 ;66,0
633;JUAN ALFONSO;2.465 ;48,3
634;GABINO;2.462 ;62,1
635;IONUT;2.458 ;30,3
636;JOSE GREGORIO;2.457 ;45,3
637;PETER;2.444 ;54,7
638;JONAS;2.440 ;29,7
639;SALAH;2.433 ;42,4
640;TARIK;2.424 ;30,2
641;ADRIANO;2.423 ;41,7
642;CARLOS LUIS;2.423 ;47,1
643;VIOREL;2.420 ;45,1
644;RAFAEL ANTONIO;2.419 ;46,1
645;ANICETO;2.414 ;66,3
646;FRANCISCO PAULA;2.411 ;47,4
647;CARLOS EDUARDO;2.401 ;36,1
648;LAHCEN;2.385 ;42,2
649;SILVESTRE;2.385 ;58,8
650;VICENTE JAVIER;2.375 ;46,2
651;AMIN;2.369 ;12,6
652;NICANOR;2.368 ;59,9
653;JESUS DAVID;2.361 ;31,9
654;JULIO JOSE;2.359 ;40,5
655;LINO;2.357 ;58,0
656;LUIS IGNACIO;2.352 ;48,2
657;JUAN DANIEL;2.349 ;32,9
658;SABINO;2.332 ;64,9
659;ERICK;2.329 ;8,9
660;ACHRAF;2.327 ;16,2
661;ERNEST;2.323 ;38,2
662;TELMO;2.323 ;16,7
663;OIHAN;2.322 ;8,6
664;EMMANUEL;2.320 ;26,5
665;HELIODORO;2.320 ;66,8
666;DESIDERIO;2.319 ;64,4
667;MHAMED;2.310 ;46,4
668;ILYAS;2.309 ;9,9
669;FRANCESCO;2.302 ;38,1
670;ANGEL FRANCISCO;2.297 ;47,0
671;SIXTO;2.294 ;60,9
672;JOSE MARTIN;2.292 ;50,6
673;ABDELKARIM;2.289 ;34,8
674;VICENÇ;2.289 ;51,1
675;ROI;2.287 ;14,1
676;HORACIO;2.285 ;59,8
677;ANDREA;2.281 ;35,5
678;ULISES;2.274 ;21,0
679;MARK;2.270 ;19,1
680;SEVERIANO;2.263 ;64,2
681;HERMENEGILDO;2.254 ;64,8
682;JOSE ALFREDO;2.254 ;48,9
683;FOUAD;2.240 ;34,7
684;NELSON;2.226 ;36,7
685;ESTANISLAO;2.225 ;58,3
686;RAFAEL ANGEL;2.225 ;45,7
687;RENE;2.219 ;39,0
688;JUAN SALVADOR;2.210 ;46,4
689;JORGE ALBERTO;2.206 ;45,1
690;DIEGO JESUS;2.191 ;35,3
691;MIGUEL JOSE;2.191 ;46,6
692;DAMASO;2.182 ;58,8
693;RAFAEL JESUS;2.172 ;39,7
694;HONORIO;2.167 ;67,0
695;VENTURA;2.166 ;59,0
696;QUIM;2.161 ;9,1
697;IGNACIO JAVIER;2.160 ;45,2
698;JONAY;2.160 ;26,8
699;OUSSAMA;2.154 ;17,4
