Orden;Nombre;Frecuencia;Edad media
179;GUADALUPE;20.907 ;55,1
180;CANDELA;20.606 ;9,8
181;JUDITH;20.576 ;23,7
182;AROA;20.432 ;16,1
183;CECILIA;20.412 ;48,0
184;ESTER;20.247 ;37,8
185;MARIA MAGDALENA;19.977 ;53,5
186;PETRA;19.781 ;70,6
187;JULIANA;19.770 ;66,8
188;SHEILA;19.650 ;23,2
189;GABRIELA;19.596 ;29,8
190;JENNIFER;19.395 ;26,1
191;MARIA ENCARNACION;19.378 ;58,4
192;BERTA;19.344 ;27,2
193;JUDIT;19.281 ;25,9
194;ROSALIA;19.265 ;59,8
195;AGUSTINA;19.146 ;66,5
196;ESTRELLA;18.861 ;49,4
197;ALEXANDRA;18.527 ;25,2
198;MARIA FRANCISCA;18.441 ;58,4
199;HELENA;18.105 ;20,6
200;ADORACION;17.916 ;64,8
201;SORAYA;17.804 ;29,2
202;RUTH;17.649 ;31,2
203;MARIA MONTSERRAT;17.528 ;54,2
204;NORA;17.368 ;13,1
205;MARIA YOLANDA;17.181 ;50,3
206;MARIA GLORIA;16.948 ;59,6
207;NADIA;16.829 ;24,9
208;MARIA MILAGROS;16.674 ;60,7
209;LOLA;16.655 ;8,9
210;MARIA CONSUELO;16.593 ;58,9
211;JIMENA;16.244 ;8,5
212;ELSA;16.188 ;20,9
213;ERIKA;16.129 ;19,0
214;NAIARA;16.031 ;16,3
215;AIDA;15.506 ;30,1
216;PAOLA;15.311 ;17,7
217;EUGENIA;14.873 ;60,5
218;MAR;14.786 ;13,6
219;AINA;14.710 ;13,0
220;ESTELA;14.432 ;26,4
221;EULALIA;14.410 ;62,8
222;MARIA REMEDIOS;14.260 ;55,5
223;MACARENA;14.233 ;29,3
224;LEYRE;14.165 ;11,9
225;ELISABETH;14.132 ;33,4
226;MARIA REYES;14.060 ;50,4
227;HERMINIA;13.990 ;67,9
228;YAIZA;13.943 ;17,9
229;TATIANA;13.780 ;32,0
230;AFRICA;13.684 ;26,3
231;OLIVIA;13.660 ;15,9
232;AMAIA;13.597 ;29,8
233;ENRIQUETA;13.372 ;69,8
234;MARIA ARANZAZU;13.352 ;51,1
235;SARAY;13.276 ;19,3
236;MARIA TRINIDAD;12.864 ;51,8
237;AMANDA;12.745 ;24,2
238;ITZIAR;12.672 ;30,5
239;ARANZAZU;12.639 ;39,1
240;MARIA ESPERANZA;12.595 ;54,9
241;JOANA;12.444 ;34,6
242;PIEDAD;12.397 ;65,4
243;FLORENTINA;12.150 ;64,8
244;IRIA;12.080 ;16,0
245;MAITE;11.995 ;36,5
246;GREGORIA;11.943 ;72,0
247;MIRIAN;11.838 ;29,7
248;IRIS;11.746 ;17,9
249;KHADIJA;11.621 ;33,1
250;AURELIA;11.497 ;67,8
251;ANE;11.421 ;16,2
252;ANA ROSA;11.075 ;48,6
253;VERA;11.066 ;10,1
254;CANDIDA;11.045 ;68,9
255;MERITXELL;10.724 ;31,6
256;DESIREE;10.693 ;23,4
257;ANTONIA MARIA;10.666 ;50,1
258;MERCE;10.498 ;55,4
259;RITA;10.466 ;51,7
260;MARIA FERNANDA;10.430 ;44,4
261;ABRIL;10.421 ;7,3
262;MARIA SOL;10.416 ;52,0
263;NEUS;10.366 ;31,5
264;SAGRARIO;10.351 ;66,2
265;CARIDAD;10.313 ;61,6
266;ALMA;10.114 ;7,1
267;MARIA JULIA;10.084 ;56,1
268;MARIA INES;10.018 ;52,9
269;ELIZABETH;10.011 ;36,0
270;VIOLETA;9.991 ;28,5
271;VEGA;9.954 ;5,8
272;LYDIA;9.915 ;27,8
273;ALBA MARIA;9.773 ;22,2
274;MARIA MANUELA;9.729 ;61,3
275;AGUEDA;9.702 ;55,5
276;ROSER;9.698 ;52,9
277;AMAYA;9.613 ;35,5
278;ESMERALDA;9.611 ;40,0
279;MARIA GRACIA;9.408 ;55,4
280;CONSOLACION;9.390 ;61,1
281;MARIA ASCENSION;9.360 ;58,8
282;MARIA CANDELARIA;9.350 ;54,4
283;ADELINA;9.288 ;65,4
284;ANA CRISTINA;9.216 ;39,8
285;ELIA;9.213 ;30,1
286;FELICIDAD;9.162 ;68,2
287;TOMASA;9.077 ;72,5
288;TEODORA;9.074 ;68,9
289;NAYARA;9.048 ;10,2
290;IRINA;8.968 ;29,6
291;SALMA;8.944 ;10,7
292;MARIA DOLORS;8.914 ;61,6
293;MARIA PURIFICACION;8.863 ;62,6
294;CARME;8.853 ;59,5
295;GISELA;8.844 ;20,5
296;BENITA;8.824 ;71,1
297;HORTENSIA;8.692 ;69,2
298;IRATI;8.689 ;13,8
299;ELOISA;8.653 ;60,2
300;CANDELARIA;8.603 ;62,5
301;ADELAIDA;8.562 ;61,4
302;MARIA CARME;8.547 ;58,9
303;JANA;8.532 ;13,2
304;FILOMENA;8.499 ;71,2
305;MARIA SAGRARIO;8.479 ;61,2
306;ANNA MARIA;8.436 ;51,6
307;ANGELA MARIA;8.347 ;40,0
308;AZUCENA;8.266 ;46,7
309;ANABEL;8.259 ;27,8
310;JENIFER;8.217 ;26,9
311;ALEXIA;8.194 ;12,1
312;MARIA AURORA;8.150 ;56,7
313;LUNA;8.130 ;11,8
314;ELENA MARIA;8.127 ;38,9
315;NAZARET;8.124 ;20,2
316;ZAIRA;8.108 ;15,7
317;AICHA;8.054 ;41,6
318;YASMINA;7.987 ;21,2
319;ESTIBALIZ;7.963 ;34,6
320;EDURNE;7.935 ;27,6
321;MARCELINA;7.926 ;71,8
322;MARIA BLANCA;7.887 ;58,7
323;MARIA PINO;7.869 ;57,2
324;NAIMA;7.864 ;36,9
325;MICAELA;7.820 ;57,4
326;MONSERRAT;7.786 ;47,6
327;FLORA;7.782 ;66,9
328;AYA;7.776 ;8,0
329;MARIA AUXILIADORA;7.727 ;49,0
330;FERNANDA;7.611 ;62,7
331;LUISA MARIA;7.581 ;47,2
332;ROSA ANA;7.569 ;44,6
333;VISITACION;7.536 ;70,0
334;MARIAM;7.479 ;16,8
335;MARIA PALOMA;7.448 ;53,5
336;SAMIRA;7.422 ;28,1
337;DELIA;7.385 ;46,2
338;MARTA MARIA;7.385 ;41,5
339;REGINA;7.344 ;56,4
340;FUENSANTA;7.277 ;58,4
341;MARIA VALLE;7.240 ;50,3
342;MARIA LUCIA;7.238 ;49,2
343;MARIA GUADALUPE;7.230 ;52,6
344;MARIONA;7.210 ;17,5
345;YANIRA;7.210 ;13,9
346;INMACULADA CONCEPCION;7.201 ;41,7
347;MARA;7.192 ;11,6
348;AINOA;7.093 ;19,0
349;MARIA SOCORRO;7.087 ;64,8
350;ARANTXA;7.084 ;27,0
351;PAULINA;7.084 ;61,7
352;MARIA GEMA;7.059 ;45,5
353;LAURA MARIA;7.034 ;31,8
354;MARIA ESTRELLA;6.955 ;56,1
355;FABIOLA;6.944 ;38,0
356;JESICA;6.912 ;30,4
357;MARIA DESAMPARADOS;6.829 ;56,9
358;AVELINA;6.808 ;70,8
359;CORAL;6.766 ;23,2
360;TRIANA;6.737 ;5,7
361;VIRTUDES;6.713 ;66,6
362;MARISOL;6.708 ;48,1
363;MARIA SONIA;6.707 ;45,7
364;FLORENCIA;6.646 ;65,8
365;LUZ MARIA;6.640 ;41,7
366;ANGELICA;6.637 ;42,2
367;MARIA ELISA;6.636 ;55,0
368;INGRID;6.627 ;27,6
369;INES MARIA;6.621 ;44,4
370;SALVADORA;6.612 ;66,1
371;NAHIA;6.591 ;9,0
372;NAIA;6.568 ;8,8
373;ZOE;6.560 ;7,7
374;MIREYA;6.547 ;22,7
375;MARIA OLGA;6.443 ;57,0
376;SEBASTIANA;6.408 ;67,6
377;GENOVEVA;6.407 ;61,2
378;DELFINA;6.405 ;69,1
379;MARIA ANGELS;6.392 ;56,0
380;IDOIA;6.377 ;37,9
381;AZAHARA;6.375 ;18,7
382;NAGORE;6.311 ;23,3
383;DOLORS;6.301 ;68,9
384;MARIA CINTA;6.298 ;58,2
385;AMINA;6.292 ;29,9
386;ANGELINA;6.250 ;60,0
387;MARIA VICENTA;6.239 ;58,0
388;LILIANA;6.190 ;40,7
389;MALIKA;6.189 ;47,0
390;MARIA NATIVIDAD;6.142 ;61,4
391;IRATXE;6.135 ;29,4
392;SABINA;6.133 ;52,4
393;MAIDER;6.115 ;24,9
394;MARIA ANGELA;6.085 ;59,1
395;PATROCINIO;6.051 ;70,8
396;FELIPA;6.029 ;73,1
397;JUSTA;6.018 ;72,2
398;ALFONSA;6.015 ;68,0
399;CHLOE;6.007 ;4,2
400;ROSANA;5.974 ;36,5
401;IZASKUN;5.960 ;39,2
402;FATIHA;5.947 ;41,2
403;ONA;5.927 ;8,3
404;MARIA BEATRIZ;5.913 ;46,4
405;AUREA;5.900 ;66,3
406;CARMEN ROSA;5.869 ;53,6
407;JESUSA;5.820 ;74,8
408;MARIA ALEJANDRA;5.806 ;35,1
409;MARIA ARACELI;5.788 ;52,6
410;MARIA FATIMA;5.751 ;48,0
411;ISIDORA;5.729 ;69,8
412;PALMIRA;5.716 ;67,6
413;MARIA ANGUSTIAS;5.712 ;56,9
414;DEBORA;5.705 ;30,1
415;MAIALEN;5.696 ;17,4
416;LORENZA;5.688 ;70,0
417;JUNE;5.687 ;12,2
418;REYES;5.668 ;46,7
419;DESAMPARADOS;5.580 ;64,7
420;GEORGINA;5.579 ;35,2
421;OBDULIA;5.567 ;69,6
422;CAYETANA;5.503 ;18,6
423;GRACIA;5.479 ;60,1
424;ANAIS;5.435 ;16,3
425;TERESA JESUS;5.424 ;55,2
426;UXUE;5.421 ;12,3
427;RACHIDA;5.393 ;42,1
428;ANTIA;5.392 ;14,7
429;NAROA;5.379 ;13,2
430;DAVINIA;5.356 ;28,5
431;SONIA MARIA;5.330 ;41,4
432;MALAK;5.321 ;6,2
433;MIHAELA;5.315 ;37,6
434;BRIGIDA;5.299 ;65,2
435;MARIA JUANA;5.295 ;65,0
436;LINA;5.290 ;27,6
437;MARIA PIEDAD;5.288 ;58,2
438;ANASTASIA;5.279 ;49,0
439;KARIMA;5.264 ;35,0
440;YASMIN;5.246 ;11,4
441;EVANGELINA;5.220 ;64,4
442;JACINTA;5.196 ;69,8
443;DIONISIA;5.183 ;72,2
444;URSULA;5.130 ;46,0
445;MIA;5.102 ;4,3
446;JOSEFA MARIA;5.089 ;56,4
447;LAILA;5.089 ;26,3
448;BIENVENIDA;5.074 ;66,5
449;OLGA MARIA;5.072 ;45,2
450;MARIA NURIA;5.054 ;52,5
451;MODESTA;5.049 ;71,3
452;MARIA AZUCENA;4.991 ;53,4
453;ANGUSTIAS;4.984 ;68,3
454;SARAI;4.978 ;25,2
455;RUFINA;4.944 ;72,1
456;ERICA;4.867 ;26,3
457;OTILIA;4.857 ;69,5
458;CLOTILDE;4.846 ;69,7
459;MYRIAM;4.824 ;33,6
460;GERTRUDIS;4.806 ;66,2
461;SOCORRO;4.800 ;69,7
462;NICOLE;4.778 ;17,2
463;CRISTINA MARIA;4.776 ;35,2
464;MARIA RAQUEL;4.772 ;49,9
465;SAIDA;4.754 ;38,0
466;EMILIANA;4.748 ;71,8
467;FRANCESCA;4.710 ;51,3
468;DOMINGA;4.707 ;68,9
469;EIDER;4.686 ;19,8
470;LIA;4.682 ;10,3
471;MARIBEL;4.674 ;46,2
472;BALBINA;4.650 ;70,4
473;MINERVA;4.617 ;25,7
474;MARIA CONSOLACION;4.611 ;60,9
475;HANANE;4.609 ;32,4
476;GLORIA MARIA;4.608 ;44,9
477;BOUCHRA;4.577 ;33,8
478;UXIA;4.575 ;12,5
479;MARIA ELVIRA;4.570 ;55,2
480;MARCELA;4.562 ;50,0
481;MARIA LAURA;4.540 ;44,2
482;COVADONGA;4.514 ;40,4
483;MELANIA;4.510 ;28,8
484;MARIA EVA;4.494 ;51,0
485;SAMARA;4.471 ;14,5
486;MIREN;4.438 ;34,8
487;CAMILA;4.433 ;32,9
488;SILVIA MARIA;4.394 ;38,9
489;MARIA PRADO;4.391 ;52,7
490;LUZ MARINA;4.364 ;49,1
491;OLATZ;4.359 ;29,1
492;MARIA ALICIA;4.352 ;56,1
493;MARIA SALUD;4.347 ;55,4
494;MARIA ALMUDENA;4.332 ;46,0
495;SANDRA MARIA;4.302 ;36,7
496;CINTIA;4.299 ;23,8
497;LATIFA;4.294 ;40,8
498;SARA MARIA;4.293 ;31,5
499;MAITANE;4.286 ;24,3
500;FELICIANA;4.226 ;70,9
501;JULIA MARIA;4.217 ;45,0
502;MARIA MERCE;4.215 ;54,9
503;GEMA MARIA;4.208 ;36,2
504;ILUMINADA;4.206 ;67,1
505;VICTORIA EUGENIA;4.160 ;42,6
506;GUILLERMINA;4.157 ;63,0
507;IGNACIA;4.132 ;71,7
508;FELICITAS;4.116 ;73,3
509;EUSEBIA;4.115 ;73,3
510;MARIA FE;4.111 ;56,0
511;RUT;4.097 ;29,6
512;MARIA CELIA;4.093 ;58,4
513;PAULA MARIA;4.079 ;27,9
514;ICIAR;4.032 ;34,4
515;XENIA;4.030 ;18,5
516;HAIZEA;4.022 ;12,8
517;ALINA;4.021 ;29,5
518;VICTORINA;4.020 ;75,1
519;FRANCISCA MARIA;4.007 ;50,0
520;MARIA EMILIA;4.007 ;53,5
521;ANA CARMEN;4.006 ;48,1
522;ENGRACIA;4.006 ;71,6
523;SAIOA;3.996 ;24,5
524;SALUD;3.994 ;63,2
525;INOCENCIA;3.983 ;71,2
526;ELISA ISABEL;3.977 ;43,6
527;PRESENTACION;3.969 ;70,2
528;MARIA MARGARITA;3.961 ;56,8
529;SOUAD;3.936 ;36,4
530;OLIVA;3.916 ;68,1
531;LORETO;3.911 ;40,4
532;NICOLASA;3.911 ;71,2
533;SABRINA;3.899 ;25,9
534;HAJAR;3.871 ;16,3
535;CLARA ISABEL;3.870 ;45,2
536;NAYRA;3.869 ;15,9
537;GALA;3.857 ;11,0
538;AMAL;3.830 ;24,1
539;THAIS;3.829 ;21,1
540;FAUSTINA;3.820 ;71,3
541;SARAH;3.812 ;19,6
542;GRACIELA;3.758 ;42,5
543;SACRAMENTO;3.746 ;65,5
544;OIHANE;3.729 ;19,9
545;FERMINA;3.725 ;70,9
546;HAFIDA;3.706 ;42,6
547;PASTORA;3.702 ;58,2
548;SATURNINA;3.696 ;74,3
549;ZAIDA;3.690 ;24,8
550;CELESTINA;3.689 ;71,1
551;MARWA;3.689 ;6,8
552;SERAFINA;3.683 ;69,4
553;MARIA FELISA;3.653 ;60,1
554;PAZ;3.630 ;55,0
555;EVELYN;3.626 ;21,9
556;ISABELLA;3.625 ;10,0
557;NAJAT;3.621 ;38,8
558;SALOME;3.618 ;38,6
559;MARIA SANDRA;3.616 ;42,3
560;LUZ;3.561 ;51,6
561;JULIETA;3.553 ;16,8
562;BIBIANA;3.527 ;46,3
563;FATIMA ZAHRA;3.523 ;19,0
564;JACQUELINE;3.517 ;42,7
565;IKRAM;3.515 ;21,7
566;DINA;3.508 ;22,5
567;CONCEPCIO;3.500 ;70,1
568;ARIANA;3.496 ;16,4
569;IRUNE;3.496 ;22,0
570;MARIA SUSANA;3.487 ;48,7
571;ADA;3.479 ;17,0
572;MARIA VANESA;3.477 ;37,8
573;IZARO;3.468 ;11,6
574;MARIA ADELA;3.458 ;55,8
575;MARAVILLAS;3.454 ;57,9
576;MARIA EULALIA;3.439 ;55,5
577;ZOHRA;3.437 ;49,2
578;ZAHRA;3.427 ;41,2
579;DESIRE;3.425 ;22,7
580;SABELA;3.423 ;15,4
581;IVET;3.412 ;9,5
582;JANIRE;3.389 ;24,3
583;BASILISA;3.384 ;74,2
584;SIRA;3.375 ;26,5
585;CLARA MARIA;3.374 ;38,5
586;PASCUALA;3.366 ;70,8
587;IMAN;3.365 ;14,8
588;MARIA CECILIA;3.340 ;50,1
589;SIHAM;3.313 ;27,4
590;CASILDA;3.305 ;61,8
591;MARIA ESTER;3.304 ;46,9
592;LUCIANA;3.298 ;51,0
593;NINA;3.295 ;35,0
594;IRYNA;3.288 ;40,3
595;SIMONA;3.287 ;46,6
596;BENEDICTA;3.286 ;72,0
597;OLAYA;3.278 ;22,4
598;HAYAT;3.268 ;32,9
599;CYNTHIA;3.259 ;22,8
600;NICOLETA;3.258 ;37,3
601;KAREN;3.249 ;25,2
602;ELISENDA;3.235 ;40,7
603;IMANE;3.220 ;21,3
604;MARIA LORENA;3.202 ;38,6
605;AITZIBER;3.200 ;34,3
606;JERONIMA;3.192 ;68,2
607;HENAR;3.189 ;23,8
608;DAMARIS;3.187 ;26,6
609;YESICA;3.180 ;29,9
610;JAMILA;3.162 ;38,8
611;MARIA VIRGINIA;3.137 ;47,0
612;CLEMENTINA;3.133 ;70,2
613;CELSA;3.116 ;70,0
614;ROSA ISABEL;3.113 ;48,9
615;DUNIA;3.111 ;21,1
616;GARAZI;3.095 ;17,6
617;FATNA;3.082 ;50,3
618;IOANA;3.080 ;43,4
619;MARIA CLARA;3.066 ;52,8
620;OFELIA;3.065 ;65,7
621;YURENA;3.057 ;29,8
622;CLOE;3.054 ;5,5
623;MARIA ESTELA;3.054 ;43,8
624;NEKANE;3.050 ;29,9
625;MINA;3.046 ;42,6
626;NAIRA;3.045 ;14,2
627;TERESA MARIA;3.041 ;48,2
628;MARIA AMOR;3.038 ;55,3
629;SVETLANA;3.033 ;45,5
630;MARIA CAMINO;3.026 ;52,7
631;OLALLA;3.024 ;30,7
632;OKSANA;3.023 ;40,9
633;ARLET;3.018 ;4,6
634;DULCE MARIA;3.016 ;46,7
635;HANAN;3.015 ;31,4
636;CARMELA;3.004 ;45,7
637;MARIA GABRIELA;3.001 ;38,2
638;BLANCA MARIA;2.988 ;40,9
639;HALIMA;2.984 ;37,4
640;MARIA OLIVA;2.982 ;58,1
641;MELANIE;2.979 ;22,8
642;ENCARNACIO;2.977 ;70,0
643;JONE;2.969 ;24,7
644;MARIYA;2.968 ;47,0
645;NELIDA;2.966 ;58,1
646;AMIRA;2.959 ;7,4
647;LEILA;2.954 ;24,4
648;LUISA FERNANDA;2.951 ;40,6
649;SUSANA MARIA;2.950 ;43,6
650;ANUNCIACION;2.935 ;72,8
651;MARIA GEMMA;2.908 ;48,5
652;ALICIA MARIA;2.905 ;39,7
653;MELISA;2.904 ;25,1
654;PAMELA;2.904 ;33,7
655;NATALIYA;2.903 ;44,3
656;ANA TERESA;2.891 ;47,6
657;VICTORIANA;2.891 ;73,7
658;BERNARDA;2.890 ;68,6
659;BELINDA;2.886 ;36,2
660;ELISA MARIA;2.878 ;41,8
661;ELOINA;2.875 ;69,7
662;MARIA ANGELICA;2.870 ;49,2
663;FATIMA ZOHRA;2.866 ;29,7
664;JARA;2.864 ;15,0
665;OLENA;2.862 ;42,1
666;ARANCHA;2.859 ;21,9
667;BRENDA;2.851 ;25,3
668;ANNE;2.848 ;23,4
669;SONSOLES;2.845 ;43,0
670;FLORINDA;2.844 ;69,8
671;MARIA AGUSTINA;2.840 ;57,4
672;ABIGAIL;2.830 ;22,3
673;MARIA CATALINA;2.804 ;54,5
674;BRUNA;2.792 ;14,6
675;ARANTZA;2.779 ;45,4
676;MARIA VISITACION;2.773 ;64,8
677;MARIA LEONOR;2.771 ;53,8
678;MICHELLE;2.769 ;20,2
679;MADDI;2.768 ;11,4
680;RAHMA;2.768 ;50,1
681;MARIA LORETO;2.756 ;52,7
682;ESTHER MARIA;2.751 ;40,1
683;MARIA AMELIA;2.739 ;59,7
684;MARIA VIRTUDES;2.734 ;55,8
685;CARMEN DOLORES;2.730 ;51,5
686;LUCRECIA;2.722 ;61,9
687;ANA LUCIA;2.718 ;34,6
688;NAOMI;2.707 ;15,9
689;YESSICA;2.706 ;28,4
690;MARIA ADORACION;2.704 ;62,1
691;ISOLINA;2.702 ;72,4
692;DIANA MARIA;2.699 ;35,1
693;DANIELLA;2.696 ;7,0
694;PRIMITIVA;2.691 ;73,7
695;MARIA LLANOS;2.683 ;50,8
696;MELISSA;2.680 ;21,4
697;ENARA;2.671 ;13,6
698;KARINA;2.661 ;29,9
699;MALENA;2.658 ;12,2
700;RAQUEL MARIA;2.657 ;38,8
701;OLAIA;2.655 ;19,6
702;CATERINA;2.653 ;33,1
703;MARIA O;2.645 ;45,4
704;BIANCA;2.643 ;16,2
705;MARIA SALOME;2.640 ;53,3
706;CARMEN DELIA;2.632 ;50,7
707;MAXIMA;2.631 ;71,2
708;ARANTZAZU;2.624 ;37,2
709;RITA MARIA;2.622 ;46,8
710;ANA LUISA;2.621 ;47,9
711;MARIA IRENE;2.612 ;50,9
712;ALAZNE;2.605 ;22,3
713;JUSTINA;2.601 ;70,7
714;IRAIA;2.585 ;11,6
715;FIDELA;2.582 ;73,5
716;MAXIMINA;2.570 ;72,1
717;CRISTOBALINA;2.562 ;62,8
718;MARIA SANTOS;2.561 ;60,3
719;MARIA SIERRA;2.558 ;53,4
720;ANA PILAR;2.550 ;43,9
721;MAYA;2.540 ;14,0
722;MARIA FLOR;2.538 ;57,4
723;SVITLANA;2.530 ;45,7
724;PATRICIA MARIA;2.529 ;34,1
725;LOUBNA;2.524 ;29,1
726;EDELMIRA;2.520 ;70,7
