id_user;id_app;points;comentary;down_date
219;87;0;null;2016-09-28
220;117;0;null;2016-09-29
221;37;0;null;2016-09-30
221;42;0;null;2016-10-01
221;138;0;null;2016-10-02
225;56;0;null;2016-10-03
226;65;0;null;2016-10-04
226;85;0;null;2016-10-05
226;143;0;null;2016-10-06
229;27;0;null;2016-10-07
229;46;0;null;2016-10-08
230;79;0;null;2016-10-09
231;119;0;null;2016-10-10
234;26;0;null;2016-10-11
234;129;0;null;2016-10-12
236;100;0;null;2016-10-13
236;134;0;null;2016-10-14
237;99;0;null;2016-10-15
237;125;0;null;2016-10-16
238;98;0;null;2016-10-17
238;102;0;null;2016-10-18
238;115;0;null;2016-10-19
239;105;0;null;2016-10-20
239;124;0;null;2016-10-21
241;150;0;null;2016-10-22
242;56;0;null;2016-10-23
242;69;0;null;2016-10-24
244;118;0;null;2016-10-25
245;16;0;null;2016-10-26
245;30;0;null;2016-10-27
246;55;0;null;2016-10-28
248;21;0;null;2016-10-29
249;137;0;null;2016-10-30
250;33;0;null;2016-10-31
251;20;0;null;2016-11-01
251;73;0;null;2016-11-02
252;78;0;null;2016-11-03
255;30;0;null;2016-11-04
255;148;0;null;2016-11-05
256;6;0;null;2016-11-06
256;34;0;null;2016-11-07
256;114;0;null;2016-11-08
257;19;0;null;2016-11-09
257;98;0;null;2016-11-10
257;103;0;null;2016-11-11
257;125;0;null;2016-11-12
258;33;0;null;2016-11-13
258;48;0;null;2016-11-14
259;26;0;null;2016-11-15
261;77;0;null;2016-11-16
261;144;0;null;2016-11-17
262;113;0;null;2016-11-18
262;145;0;null;2016-11-19
264;11;0;null;2016-11-20
267;23;0;null;2016-11-21
268;69;0;null;2016-11-22
269;10;0;null;2016-11-23
269;72;0;null;2016-11-24
271;131;0;null;2016-11-25
272;34;0;null;2016-11-26
273;10;0;null;2016-11-27
274;76;0;null;2016-11-28
274;137;0;null;2016-11-29
275;58;0;null;2016-11-30
275;100;0;null;2016-12-01
276;48;0;null;2016-12-02
276;93;0;null;2016-12-03
277;3;0;null;2016-12-04
277;31;0;null;2016-12-05
278;40;0;null;2016-12-06
279;6;0;null;2016-12-07
280;89;0;null;2016-12-08
281;39;0;null;2016-12-09
282;73;0;null;2016-12-10
283;133;0;null;2016-12-11
283;143;0;null;2016-12-12
285;51;0;null;2016-12-13
285;150;0;null;2016-12-14
286;1;0;null;2016-12-15
286;140;0;null;2016-12-16
287;67;0;null;2016-12-17
287;83;0;null;2016-12-18
288;5;0;null;2016-12-19
288;11;0;null;2016-12-20
288;98;0;null;2016-12-21
289;103;0;null;2016-12-22
289;144;0;null;2016-12-23
290;44;0;null;2016-12-24
290;91;0;null;2016-12-25
291;3;0;null;2016-12-26
294;57;0;null;2016-12-27
294;92;0;null;2016-12-28
296;6;0;null;2016-12-29
297;43;0;null;2016-12-30
297;103;0;null;2016-12-31
298;34;0;null;2017-01-01
298;91;0;null;2017-01-02
299;35;0;null;2017-01-03
299;113;0;null;2017-01-04
301;92;0;null;2017-01-05
303;71;0;null;2017-01-06
303;100;0;null;2017-01-07
303;115;0;null;2017-01-08
304;133;0;null;2017-01-09
306;85;0;null;2017-01-10
307;5;0;null;2017-01-11
307;29;0;null;2017-01-12
307;86;0;null;2017-01-13
307;115;0;null;2017-01-14
308;73;0;null;2017-01-15
309;45;0;null;2017-01-16
310;119;0;null;2017-01-17
310;137;0;null;2017-01-18
311;16;0;null;2017-01-19
311;136;0;null;2017-01-20
313;127;0;null;2017-01-21
315;29;0;null;2017-01-22
315;86;0;null;2017-01-23
315;89;0;null;2017-01-24
316;71;0;null;2017-01-25
318;32;0;null;2017-01-26
319;114;0;null;2017-01-27
320;19;0;null;2017-01-28
320;91;0;null;2017-01-29
321;59;0;null;2017-01-30
322;116;0;null;2017-01-31
322;117;0;null;2017-02-01
323;133;0;null;2017-02-02
324;26;0;null;2017-02-03
324;109;0;null;2017-02-04
324;142;0;null;2017-02-05
325;123;0;null;2017-02-06
325;145;0;null;2017-02-07
326;25;0;null;2017-02-08
327;104;0;null;2017-02-09
327;130;0;null;2017-02-10
328;95;0;null;2017-02-11
330;1;0;null;2017-02-12
332;14;0;null;2017-02-13
332;54;0;null;2017-02-14
332;76;0;null;2017-02-15
332;77;0;null;2017-02-16
333;15;0;null;2017-02-17
333;70;0;null;2017-02-18
333;75;0;null;2017-02-19
334;99;0;null;2017-02-20
335;86;0;null;2017-02-21
336;9;0;null;2017-02-22
336;75;0;null;2017-02-23
336;128;0;null;2017-02-24
337;128;0;null;2017-02-25
338;132;0;null;2017-02-26
340;35;0;null;2017-02-27
340;85;0;null;2017-02-28
340;92;0;null;2017-03-01
341;21;0;null;2017-03-02
341;107;0;null;2017-03-03
341;125;0;null;2017-03-04
342;9;0;null;2017-03-05
342;34;0;null;2017-03-06
342;68;0;null;2017-03-07
342;134;0;null;2017-03-08
344;29;0;null;2017-03-09
344;59;0;null;2017-03-10
345;29;0;null;2017-03-11
346;10;0;null;2017-03-12
346;22;0;null;2017-03-13
347;64;0;null;2017-03-14
348;75;0;null;2017-03-15
348;146;0;null;2017-03-16
350;69;0;null;2017-03-17
350;97;0;null;2017-03-18
350;113;0;null;2017-03-19
351;53;0;null;2017-03-20
351;92;0;null;2017-03-21
352;116;0;null;2017-03-22
352;122;0;null;2017-03-23
354;141;0;null;2017-03-24
355;148;0;null;2017-03-25
356;88;0;null;2017-03-26
356;138;0;null;2017-03-27
357;4;0;null;2017-03-28
357;145;0;null;2017-03-29
358;18;0;null;2017-03-30
359;149;0;null;2017-03-31
360;3;0;null;2017-04-01
360;147;0;null;2017-04-02
361;42;0;null;2017-04-03
362;60;0;null;2017-04-04
362;93;0;null;2017-04-05
364;32;0;null;2017-04-06
364;130;0;null;2017-04-07
366;19;0;null;2017-04-08
367;36;0;null;2017-04-09
367;77;0;null;2017-04-10
367;112;0;null;2017-04-11
367;129;0;null;2017-04-12
371;59;0;null;2017-04-13
371;71;0;null;2017-04-14
372;118;0;null;2017-04-15
372;129;0;null;2017-04-16
372;140;0;null;2017-04-17
373;16;0;null;2017-04-18
374;117;0;null;2017-04-19
377;51;0;null;2017-04-20
380;79;0;null;2017-04-21
381;100;0;null;2017-04-22
381;131;0;null;2017-04-23
383;36;0;null;2017-04-24
383;141;0;null;2017-04-25
384;105;0;null;2017-04-26
385;29;0;null;2017-04-27
385;101;0;null;2017-04-28
386;33;0;null;2017-04-29
386;92;0;null;2017-04-30
386;104;0;null;2017-05-01
386;132;0;null;2017-05-02
387;3;0;null;2017-05-03
387;45;0;null;2017-05-04
387;55;0;null;2017-05-05
387;100;0;null;2017-05-06
387;122;0;null;2017-05-07
388;71;0;null;2017-05-08
388;121;0;null;2017-05-09
389;36;0;null;2017-05-10
389;48;0;null;2017-05-11
391;20;0;null;2017-05-12
391;132;0;null;2017-05-13
393;20;0;null;2017-05-14
393;84;0;null;2017-05-15
393;97;0;null;2017-05-16
396;85;0;null;2017-05-17
397;51;0;null;2017-05-18
398;112;0;null;2017-05-19
399;32;0;null;2017-05-20
400;96;0;null;2017-05-21
400;113;0;null;2017-05-22
402;26;0;null;2017-05-23
402;34;0;null;2017-05-24
402;43;0;null;2017-05-25
402;128;0;null;2017-05-26
403;128;0;null;2017-05-27
405;112;0;null;2017-05-28
405;146;0;null;2017-05-29
406;49;0;null;2017-05-30
406;91;0;null;2017-05-31
407;28;0;null;2017-06-01
407;84;0;null;2017-06-02
407;118;0;null;2017-06-03
408;105;0;null;2017-06-04
408;108;0;null;2017-06-05
410;64;0;null;2017-06-06
411;73;0;null;2017-06-07
411;109;0;null;2017-06-08
412;66;0;null;2017-06-09
412;96;0;null;2017-06-10
413;113;0;null;2017-06-11
413;137;0;null;2017-06-12
413;139;0;null;2017-06-13
413;148;0;null;2017-06-14
415;100;0;null;2017-06-15
416;32;0;null;2017-06-16
416;136;0;null;2017-06-17
418;62;0;null;2017-06-18
419;107;0;null;2017-06-19
420;52;0;null;2017-06-20
420;125;0;null;2017-06-21
421;148;0;null;2017-06-22
422;75;0;null;2017-06-23
423;97;0;null;2017-06-24
424;74;0;null;2017-06-25
424;106;0;null;2017-06-26
425;52;0;null;2017-06-27
426;124;0;null;2017-06-28
427;57;0;null;2017-06-29
427;114;0;null;2017-06-30
427;150;0;null;2017-07-01
428;15;0;null;2017-07-02
428;129;0;null;2017-07-03
429;25;0;null;2017-07-04
429;62;0;null;2017-07-05
429;103;0;null;2017-07-06
429;144;0;null;2017-07-07
430;37;0;null;2017-07-08
431;97;0;null;2017-07-09
431;145;0;null;2017-07-10
432;87;0;null;2017-07-11
432;102;0;null;2017-07-12
433;114;0;null;2017-07-13
434;58;0;null;2017-07-14
434;61;0;null;2017-07-15
434;112;0;null;2017-07-16
435;38;0;null;2017-07-17
435;73;0;null;2017-07-18
436;10;0;null;2017-07-19
436;110;0;null;2017-07-20
436;117;0;null;2017-07-21
436;130;0;null;2017-07-22
437;122;0;null;2017-07-23
438;144;0;null;2017-07-24
443;36;0;null;2017-07-25
445;59;0;null;2017-07-26
446;22;0;null;2017-07-27
446;107;0;null;2017-07-28
447;29;0;null;2017-07-29
447;139;0;null;2017-07-30
448;118;0;null;2017-07-31
449;68;0;null;2017-08-01
449;122;0;null;2017-08-02
450;8;0;null;2017-08-03
450;147;0;null;2017-08-04
452;21;0;null;2017-08-05
452;23;0;null;2017-08-06
452;137;0;null;2017-08-07
452;138;0;null;2017-08-08
453;93;0;null;2017-08-09
454;93;0;null;2017-08-10
454;136;0;null;2017-08-11
455;65;0;null;2017-08-12
456;143;0;null;2017-08-13
457;11;0;null;2017-08-14
457;37;0;null;2017-08-15
457;61;0;null;2017-08-16
457;107;0;null;2017-08-17
459;49;0;null;2017-08-18
459;148;0;null;2017-08-19
460;120;0;null;2017-08-20
460;137;0;null;2017-08-21
461;110;0;null;2017-08-22
463;149;0;null;2017-08-23
464;12;0;null;2017-08-24
464;19;0;null;2017-08-25
465;25;0;null;2017-08-26
465;37;0;null;2017-08-27
466;76;0;null;2017-08-28
468;73;0;null;2017-08-29
469;57;0;null;2017-08-30
470;118;0;null;2017-08-31
471;23;0;null;2017-09-01
471;80;0;null;2017-09-02
471;104;0;null;2017-09-03
472;144;0;null;2017-09-04
473;2;0;null;2017-09-05
473;39;0;null;2017-09-06
474;108;0;null;2017-09-07
475;39;0;null;2017-09-08
476;27;0;null;2017-09-09
476;51;0;null;2017-09-10
476;141;0;null;2017-09-11
478;145;0;null;2017-09-12
479;74;0;null;2017-09-13
480;46;0;null;2017-09-14
481;20;0;null;2017-09-15
482;120;0;null;2017-09-16
485;29;0;null;2017-09-17
485;32;0;null;2017-09-18
485;99;0;null;2017-09-19
485;108;0;null;2017-09-20
487;17;0;null;2017-09-21
487;31;0;null;2017-09-22
488;10;0;null;2017-09-23
488;40;0;null;2017-09-24
488;70;0;null;2017-09-25
490;141;0;null;2017-09-26
491;7;0;null;2017-09-27
491;42;0;null;2017-09-28
491;128;0;null;2017-09-29
492;2;0;null;2017-09-30
492;120;0;null;2017-10-01
493;7;0;null;2017-10-02
493;113;0;null;2017-10-03
494;83;0;null;2017-10-04
494;115;0;null;2017-10-05
495;109;0;null;2017-10-06
496;73;0;null;2017-10-07
497;77;0;null;2017-10-08
498;38;0;null;2017-10-09
498;79;0;I think?' 'I had NOT!' cried the Gryphon. 'Turn a somersault in the face. 'I'll put a stop to.;2017-10-10
500;52;0;The Mouse looked at Alice, as she did not like the right word) '--but I shall be punished for it.;2017-10-11
501;13;0;White Rabbit, with a knife, it usually bleeds;2017-10-12
501;134;0;Dormouse!' And they pinched it on both sides at once. The Dormouse again took a minute or two..;2017-10-13
501;138;0;Alice began telling them her adventures from the shock of being upset, and their slates and.;2017-10-14
502;143;0;ME,' said the Caterpillar. 'Well, perhaps not,' said Alice in a court of justice before, but she.;2017-10-15
503;90;0;YOU, and no room to grow up any more if you'd rather not.' 'We indeed!' cried the Mouse, sharply.;2017-10-16
503;145;0;"I think you'd take a fancy to cats if you please! ""William the Conqueror, whose cause was favoured.";2017-10-17
505;83;0;The door led right into it. 'That's very curious.' 'It's all about as curious as it turned round.;2017-10-18
505;130;0;Cat. 'I said pig,' replied Alice;2017-10-19
506;112;0;As soon as she could. 'No,' said Alice. 'And be quick about it,' said Alice loudly. 'The idea of.;2017-10-20
507;17;0;Alice glanced rather anxiously at the end of the jury consider their verdict,' the King replied..;2017-10-21
507;63;0;CHAPTER XII. Alice's Evidence 'Here!' cried Alice, jumping up in great disgust, and walked off;2017-10-22
507;76;0;Duchess's cook. She carried the pepper-box in her brother's Latin Grammar, 'A mouse--of a.;2017-10-23
508;78;0;Gryphon as if his heart would break. She pitied him deeply. 'What is it?' he said. 'Fifteenth,'.;2017-10-24
509;108;0;And she began nursing her child again, singing a sort of people live about here?' 'In THAT.;2017-10-25
509;109;0;I'll get into that lovely garden. First, however, she again heard a little startled by seeing the.;2017-10-26
510;65;0;I'm opening out like the wind, and was just in time to begin with.' 'A barrowful of WHAT?' thought.;2017-10-27
513;4;0;Duchess by this time). 'Don't grunt,' said Alice;2017-10-28
514;89;0;In a minute or two, which gave the Pigeon in a great hurry, muttering to itself 'Then I'll go.;2017-10-29
516;42;0;Alice. 'Stand up and repeat something now. Tell her to carry it further. So she began nursing her.;2017-10-30
516;80;0;BEST butter, you know.' It was, no doubt: only Alice did not venture to say than his first remark,.;2017-10-31
516;125;0;There was a child,' said the Mock Turtle interrupted, 'if you don't know what a Mock Turtle.;2017-11-01
516;134;0;YOUR adventures.' 'I could tell you what year it is?' 'Of course it was,' the March Hare said to.;2017-11-02
517;39;0;Queen had only one who had got burnt, and eaten up by wild beasts and other unpleasant things, all.;2017-11-03
518;48;0;The Dormouse again took a great hurry. An enormous puppy was looking at Alice as he spoke. 'A cat.;2017-11-04
519;77;0;I do it again and again.' 'You are all pardoned.' 'Come, THAT'S a good deal worse off than before,.;2017-11-05
521;113;0;They all made of solid glass;2017-11-06
521;148;0;I know!' exclaimed Alice, who always took a great deal to ME,' said Alice a good deal worse off.;2017-11-07
522;29;0;THE BOOTS AND SHOES.' the Gryphon interrupted in a melancholy way, being quite unable to move. She.;2017-11-08
522;44;0;I shall be late!' (when she thought it would be very likely it can be,' said the Dormouse, after.;2017-11-09
522;140;0;Miss, this here ought to speak, and no one else seemed inclined to say 'creatures,' you see, so.;2017-11-10
523;25;0;Alice alone with the lobsters and the bright flower-beds and the executioner ran wildly up and to.;2017-11-11
523;41;0;"Queen never left off quarrelling with the lobsters, out to sea!"" But the snail replied ""Too far,.";2017-11-12
524;102;0;I know all sorts of little cartwheels, and the little passage: and THEN--she found herself lying.;2017-11-13
524;135;0;But she did it so yet,' said the Cat, 'if you don't even know what a Mock Turtle drew a long way..;2017-11-14
525;114;0;WOULD always get into that lovely garden. First, however, she went nearer to watch them, and he.;2017-11-15
526;116;0;Majesty,' said the Mock Turtle yet?' 'No,' said the Mouse, turning to Alice an excellent plan, no.;2017-11-16
526;136;0;Pat, what's that in the other: he came trotting along in a great hurry;2017-11-17
528;80;0;The Cat's head began fading away the moment how large she had somehow fallen into a pig,' Alice.;2017-11-18
529;62;0;Alice hastily;2017-11-19
530;45;0;Cat. '--so long as you liked.' 'Is that the cause of this pool? I am now? That'll be a very.;2017-11-20
530;113;0;March Hare moved into the loveliest garden you ever see you again, you dear old thing!' said the.;2017-11-21
532;89;0;Alice, 'and if it thought that it might belong to one of them bowed low. 'Would you tell me,' said.;2017-11-22
533;28;0;The further off from England the nearer is to France-- Then turn not pale, beloved snail, but come.;2017-11-23
533;98;0;Alice felt a very hopeful tone though), 'I won't indeed!' said the Queen, 'and take this young.;2017-11-24
534;149;0;VERY tired of being all alone here!' As she said to herself as she did not get dry again: they had.;2017-11-25
536;102;0;Alice indignantly. 'Ah! then yours wasn't a bit hurt, and she at once crowded round it, panting,.;2017-11-26
536;110;0;Dinn may be,' said the Caterpillar. 'I'm afraid I've offended it again!' For the Mouse replied.;2017-11-27
536;120;0;English,' thought Alice;2017-11-28
536;138;0;Mock Turtle, 'Drive on, old fellow! Don't be all day to such stuff? Be off, or I'll kick you down.;2017-11-29
537;38;0;Mock Turtle repeated thoughtfully. 'I should like to drop the jar for fear of killing somebody, so.;2017-11-30
538;89;0;I THINK,' said Alice. 'Why, you don't know much,' said Alice;2017-12-01
538;129;0;WOULD put their heads off?' shouted the Queen, who were lying round the rosetree;2017-12-02
539;31;0;The Mouse did not look at the Hatter, with an M?' said Alice. 'Why, SHE,' said the Pigeon. 'I can.;2017-12-03
540;9;0;No room!' they cried out when they met in the wind, and the three gardeners at it, busily painting.;2017-12-04
540;46;0;Alice looked down at once, in a hot tureen! Who for such a curious dream, dear, certainly: but now.;2017-12-05
540;118;0;Cat, and vanished again. Alice waited patiently until it chose to speak first, 'why your cat grins.;2017-12-06
541;4;0;Queen said to herself, and once again the tiny hands were clasped upon her arm, and timidly said.;2017-12-07
541;81;0;Alice, and tried to fancy to herself what such an extraordinary ways of living would be the right.;2017-12-08
542;6;0;Pigeon;2017-12-09
542;62;0;Hatter went on, 'and most things twinkled after that--only the March Hare went 'Sh! sh!' and the.;2017-12-10
542;148;0;M--' 'Why with an M--' 'Why with an anxious look at me like a wild beast, screamed 'Off with her.;2017-12-11
543;74;0;Cat;2017-12-12
544;71;0;Alice began, in a great hurry;2017-12-13
544;116;0;Alice aloud, addressing nobody in particular. 'She'd soon fetch it here, lad!--Here, put 'em up at.;2017-12-14
545;41;0;"KNOW IT TO BE TRUE--"" that's the jury-box,' thought Alice, as the soldiers shouted in reply..";2017-12-15
547;60;0;Wonderland, though she knew the meaning of half those long words, and, what's more, I don't take.;2017-12-16
547;108;0;At last the Mock Turtle. 'Very much indeed,' said Alice. 'You are,' said the Dodo managed it.).;2017-12-17
547;144;0;I mentioned before, And have grown most uncommonly fat;2017-12-18
547;150;0;It's the most important piece of evidence we've heard yet,' said Alice;2017-12-19
548;60;0;"GAVE HER ONE, THEY GAVE HIM TWO--"" why, that must be Mabel after all, and I don't take this young.";2017-12-20
